"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","837","GT-TC-184 Validate Field Entering 10 Digits Valid Mobile Number","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","520","GT-TC-188 Validate send otp button functionality","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","12902","GT-TC-189 Validate with Valid OTP Input","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","5677","GT-TC-193 Validate login button click redirection","chromium","2026-05-08","failed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","4499","GT-TC-191 Validate after clicking on Terms and condition link","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","689","GT-TC-185 Validate field entering 11 digits of mobile number","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","550","GT-TC-187 Validate clicking on send otp with empty mobile no field","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","120811","GT-TC-190 Validate Resend OTP functionality","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","474","GT-TC-186 Validate field entering 9 digits of mobile number","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
"","2979","GT-TC-192 Validate if the user not clicked the checkbox for Terms and conditions","chromium","2026-05-08","passed","2026-05-08","GT Onboarding Module - Excel Data Driven","GujaratTitans/TestCases/onboarding_testcases.spec.ts","",""
